,Postcode Area,Name,Categories,Address,PostCode,Latitude,Longitude
31,EH3,Christopher North Hotel,Hotel,6 Gloucester Place,EH3 6EF,55.95655555238452,-3.2070743492291496
32,EH3,Sheraton Grand Hotel & Spa,Hotel,1 Festival Sq,EH3 9SR,55.94681632482996,-3.2076913118362427
33,EH3,Edinburgh City Hotel,Hotel,73 Lauriston Pl.,EH3 9HZ,55.94442397551455,-3.201144373148603
34,EH3,Hotel Bobbington,Hotel,4 Coates Place,EH3 788,55.947560858863106,-3.2142289882434665
35,EH4,Hotel Restaurant,Restaurant,107 Queensferry Road,EH4 3HL,55.95607164804681,-3.2426404953002925
36,EH4,Village Hotel Edinburgh,Hotel,140 Crewe Road South,EH4 2NY,55.967842219150846,-3.234304189682007
37,EH4,Britannia Hotel,Hotel,69 Belford Rd,EH4 3DG,55.95039299385432,-3.222367976785276
38,EH6,Parkview Hotel,Bed & Breakfast,14 Hermitage Place,EH6 8AF,55.96908454246548,-3.1655729804485646
39,EH6,Victoria Park House Hotel,Hotel,221 Ferry Rd.,EH6 4NN,55.97336047270945,-3.1916136749404074
40,EH6,Merith House Hotel,Hotel,2-3 Hermitage Place,EH6 8AF,55.96913479155412,-3.1640533010245555
41,EH6,Links House Hotel,Bed & Breakfast,unknown,EH6 8AF,55.969051,-3.164346
42,EH6,Hot-el Aparments Edinburgh Waterfront,Hotel,9 Western Harbour Breakwater,EH6 6PZ,55.986979602485164,-3.189615905284881
43,EH6,Premier Inn Edinburgh Leith Waterfront,Hotel,"51-53 Newhaven Place, Leith",EH6 4TX,55.982760475717036,-3.1956321001052856
44,EH7,Abbey Hotel,Hotel,9 Royal Tce.,EH7 5AB,55.95691331649515,-3.17992517737524
45,EH7,Terrace Hotel,Bed & Breakfast,37 Royal Terrace,EH7 5AH,55.956695,-3.175806
46,EH7,Cairn Hotel,Hotel,10 Windsor Street,EH7 5JR,55.95846232916178,-3.182341448782797
47,EH7,Ailsa Craig Hotel,Hotel,24 Royal Terrace,EH7 5AH,55.95675972815578,-3.1777746393355746
48,EH7,Greenside Hotel,Hotel,9 Royal Terrace,EH7 5AB,55.95680389895022,-3.178365629196357
49,EH8,Ten Hill Place Hotel Edinburgh,Hotel,10 Hill Place,EH8 9DS,55.94626203361099,-3.1838430371135473
50,EH8,Macdonald Holyrood Hotel,Hotel,81 Holyrood Rd,EH8 8AU,55.95072879248004,-3.176896410064035
51,EH9,The Minto Hotel,Hotel,unknown,EH9 1RQ,55.93525603929482,-3.175551150752682
52,EH9,Meadows Hotel,Hotel,72-80 Causewayside,EH9 1PY,55.938018850734736,-3.181230445905581
53,EH9,Allison House Hotel,Bed & Breakfast,17 Mayfield Gardens,EH9 2AX,55.93321158620028,-3.1731765762526254
54,EH10,Best Western Braid Hills Hotel,Hotel,134 Braid Road,EH10 6JD,55.917011264530544,-3.212634891287962
55,EH10,Best Western Plus Bruntsfield Hotel,Hotel,69-74 Bruntsfield Pl.,EH10 4HH,55.93803644274884,-3.206020137313317
56,EH10,The Lane Boutique Hotel,Hotel,unknown,EH10 4SY,55.927543,-3.20831
57,EH10,Royal Ettrick Hotel,Hotel,13 Ettrick Road,EH10 5BJ,55.9346839227049,-3.221211331546184
58,EH11,Ardmillan Hotel,Hotel,9-10 Ardmillan Terrace,EH11 2JW,55.93837,-3.2264
59,EH12,Edinburgh Marriott Hotel,Hotel,111 Glasgow Road,EH12 8NF,55.9400642,-3.3123965
60,EH12,Twin Lions Hotel,Hotel,92 Corstorphine Rd,EH12 6JG,55.94464,-3.2547715
61,EH12,Leonardo Hotel Murrayfeild,Hotel,unknown,EH12 6UG,55.956116,-3.2795265
62,EH12,Ibis Budget,Hotel,"6 Lochside View, Edinburgh Business Park",EH12 9DH,55.93751076587106,-3.319919451345072
63,EH12,The Struan Hotel,Hotel,3-4 Downie Terrace,EH12 7AU,55.944241,-3.266272
64,EH12,Premier Inn Edinburgh Park (The Gyle),Hotel,1 Lochside Court,EH12 9FX,55.928096,-3.3082322
65,EH12,Novotel Edinburgh Park,Hotel,15 Lochside Avenue,EH12 9DJ,55.92663410512685,-3.311148591395522
66,EH12,Best Western Edinburgh Capital,Hotel,187 Clermiston Rd.,EH12 6UG,55.955939521019914,-3.279690576389056
67,EH13,Apex Hotels Ltd,Office,32 Hailes Avenue,EH13 0LZ,55.91228777550467,-3.2631082460120435
68,EH15,Best Western Kings Manor Hotel,Hotel,100 Milton Road East,EH15 2NP,55.94436388662344,-3.096135824935118
69,EH15,Seahaven Hotel,Hotel,89 Joppa Road,EH15 2HB,55.94878948095846,-3.0961477559299824
70,EH15,Hotel Chocolat,Chocolate Shop,unknown,EH15 3RD,55.934315,-3.104311
71,EH16,Kildonan Lodge Hotel,Hotel,27 Craigmillar Park,EH16 5PE,55.928528,-3.168594
72,EH16,Wilton Road Hotel,Hotel,unknown,EH16 5NY,55.927321,-3.169384
