,Cluster,Name,Category,Latitude,Longitude
172,3,KFC,Fast Food Restaurant,55.878747,-3.521248
173,3,Sainsbury's,Supermarket,55.8785262986116,-3.52408280411435
174,3,Pets at Home,Pet Store,55.88059229741479,-3.5222973988113493
175,3,McDonald's,Fast Food Restaurant,55.88391103,-3.51792631
176,3,Supper Bowl,Fish & Chips Shop,55.893678908364585,-3.540874764447422
177,3,The Works Outlet,Discount Store,55.883395,-3.521218
178,3,Argos,Warehouse Store,55.880485,-3.521864999999991
179,3,Skechers,Shoe Store,55.882850942957646,-3.5207289565222526
180,3,Tommy Hilfiger,Clothing Store,55.882677,-3.521526
181,3,Klondyke,Garden Center,55.881830818979154,-3.5311874084773507
182,3,Khushi,Indian Restaurant,55.89252524554043,-3.4806803865072777
183,3,Deer Park (Beefeater),Pub,55.915315439650065,-3.5259300470352173
184,3,Sports Direct,Sporting Goods Shop,55.879050493240356,-3.52155445
185,3,Morrisons Café,Café,55.876688,-3.526797
186,4,Secret Herb Garden,Café,55.88464275430661,-3.183458375030963
187,4,Stewart Brewing,Brewery,55.87264584825427,-3.1618919045591976
188,4,Laird and Dog,Pub,55.88349673903767,-3.115347704087904
189,4,Toby Carvery,English Restaurant,55.9031843682447,-3.1644800687539973
190,4,Sodaeng,Korean Restaurant,55.91953176258276,-3.157380142486112
191,4,The Stable Bar,Pub,55.903872889141326,-3.1813871472313675
192,4,M&S Simply Food,Grocery Store,55.88658809,-3.16289071
193,4,Braid Hills Golf Driving Range,Golf Driving Range,55.91298599821312,-3.178223345284831
194,4,The Paper Mill,Restaurant,55.88279232635473,-3.1145195583080683
195,4,Robin's Nest Inn,Pub,55.91490397531215,-3.148901209010682
196,4,Pets at Home,Pet Store,55.886174445851914,-3.162243304992365
197,4,B&M Store,Discount Store,55.88722730644152,-3.1622053072073864
198,4,Subway,Sandwich Place,55.885959,-3.160766
199,4,Next,Clothing Store,55.88475651,-3.16248945
200,4,Home Bargains,Discount Store,55.8850859,-3.16043554
201,4,Costa Coffee,Coffee Shop,55.88455,-3.1638992
202,4,Costco,Warehouse Store,55.87956594839659,-3.1658782387494115
203,4,TK Maxx,Clothing Store,55.88567746710635,-3.1609808364533496
204,4,Iceland,Grocery Store,55.90674084857514,-3.1332899567376766
205,4,Aldi,Supermarket,55.913071891722545,-3.146556292192362
206,4,Lidl,Supermarket,55.90645299858323,-3.133674763351137
207,4,Boots,Pharmacy,55.8867798322335,-3.1632459902097922
208,4,IKEA,Furniture / Home Store,55.88056847742276,-3.1682049504381373
209,4,Asda,Supermarket,55.8785235,-3.1703376
210,4,Tesco,Supermarket,55.90248236628537,-3.1550395488739014
211,4,Frankie & Benny's,American Restaurant,55.88564402584555,-3.16384034110456
212,4,Burger King,Fast Food Restaurant,55.88290730384193,-3.16801637444928
213,4,Fryers Delight,Fast Food Restaurant,55.902471,-3.1558388471603394
