,Unnamed: 0,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
11,11,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.65002250300006,-79.55408903099999,0.0,Pizza Place,Sandwich Place,Gift Shop,Chinese Restaurant,Tea Room,Elementary School,Dog Run,Donut Shop,Eastern European Restaurant,Electronics Store
12,12,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.78577865700004,-79.15736763799998,3.0,Bar,Women's Store,Donut Shop,Flower Shop,Fish Market,Fish & Chips Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market
13,13,M3C,North York,Don Mills,43.72214339800007,-79.35202341799999,1.0,Athletics & Sports,Trail,Other Great Outdoors,Bank,Restaurant,Jewelry Store,Coffee Shop,Spa,Burger Joint,Park
14,14,M4C,East York,Woodbine Heights,43.68974004200004,-79.30850701899999,0.0,Grocery Store,Pharmacy,Arts & Crafts Store,Sushi Restaurant,Café,Coffee Shop,Pub,Gas Station,Bar,Fast Food Restaurant
15,15,M5C,Downtown Toronto,St. James Town,43.65173364700007,-79.37555358799996,1.0,Coffee Shop,Café,Cocktail Bar,American Restaurant,Cosmetics Shop,Seafood Restaurant,Gastropub,Hotel,Restaurant,Clothing Store
16,16,M6C,York,Humewood-Cedarvale,43.691729917000025,-79.43001279899994,1.0,Hockey Arena,Field,Park,Grocery Store,Trail,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Distribution Center
17,17,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.637813150000056,-79.57648363299995,1.0,Pizza Place,Park,Beer Store,Shopping Plaza,Liquor Store,Coffee Shop,Cosmetics Shop,Pet Store,Convenience Store,Café
18,18,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.76580607300008,-79.18528434099994,0.0,Fast Food Restaurant,Coffee Shop,Pizza Place,Restaurant,Breakfast Spot,Bus Line,Mexican Restaurant,Sports Bar,Fried Chicken Joint,Supermarket
19,19,M4E,East Toronto,The Beaches,43.67814827600006,-79.29534930999995,1.0,Trail,Park,Health Food Store,Pub,Coffee Shop,Donut Shop,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant
20,20,M5E,Downtown Toronto,Berczy Park,43.645195888000046,-79.37385548899994,1.0,Coffee Shop,Cocktail Bar,Seafood Restaurant,Hotel,Restaurant,Café,Pub,Cheese Shop,Bakery,Beer Bar
